0.0097751,0.35459,+1
0.60477,0.36666,+1
-0.76901,0.91528,-1
-0.32889,-0.36342,-1
0.3367,-0.70643,-1
-0.44399,0.31883,-1
0.084454,-0.43181,-1
0.95239,0.14916,+1
0.45439,0.75862,+1
0.32417,0.043602,+1
-0.49047,0.34736,-1
0.7182,-0.054938,+1
0.82505,-0.87501,+1
-0.02488,0.83014,+1
-0.020366,-0.031396,-1
-0.45174,-0.81782,-1
0.33188,-0.74889,-1
-0.78239,-0.11421,-1
0.10622,0.92508,+1
0.14302,-0.84822,-1
-0.27506,-0.96104,-1
-0.072187,0.9118,+1
0.95514,-0.71405,+1
-0.45443,0.94175,-1
0.54383,0.21171,+1
0.68477,0.35719,+1
0.84702,0.94945,+1
-0.88385,-0.94724,-1
0.41954,0.27994,+1
-0.064125,0.11433,-1
-0.81131,0.63981,-1
-0.25053,0.82446,+1
0.67879,0.18581,+1
-0.80813,-0.52336,-1
-0.9534,-0.69193,-1
0.76089,-0.76208,+1
0.71988,0.73098,+1
0.79092,-0.97662,+1
0.5922,-0.63571,+1
-0.93539,-0.67371,-1
0.096351,0.53679,+1
0.55902,-0.30186,+1
0.41651,-0.33875,+1
0.23212,-0.082211,+1
-0.56176,-0.13588,-1
0.27873,0.66227,+1
0.41745,-0.64046,-1
0.15981,0.55579,+1
0.51809,-0.49875,+1
-0.31247,0.46146,-1
-0.42543,-0.11221,-1
0.67966,0.96731,+1
0.22911,-0.6469,-1
-0.87181,0.37139,-1
-0.54013,0.32902,-1
0.68845,0.47009,+1
0.799,-0.51153,+1
0.76725,-0.90874,+1
-0.014208,0.16087,-1
0.8979,0.26331,+1
-0.054938,-0.75683,-1
-0.44058,0.53843,-1
0.5016,-0.96383,-1
0.69691,0.80469,+1
0.35208,-0.9188,-1
-0.0091619,0.37316,+1
-0.92626,-0.49885,-1
-0.36711,-0.66638,-1
-0.080748,0.83568,+1
-0.90197,-0.43614,-1
0.63027,0.78623,+1
0.58055,-0.95472,-1
-0.84154,0.84174,-1
0.02828,-0.91507,-1
0.58125,0.45623,+1
-0.8092,0.57897,-1
0.41432,-0.22037,+1
0.81227,-0.74531,+1
-0.079316,0.054566,-1
0.2281,-0.89644,-1
-0.95693,-0.77704,-1
0.1106,0.21014,+1
0.56809,0.90951,+1
-0.61137,-0.066646,-1
0.82224,-0.16808,+1
-0.40397,-0.48528,-1
0.66381,0.38907,+1
-0.98764,0.2743,-1
0.63003,0.32264,+1
-0.33013,0.91832,+1
-0.76827,0.017832,-1
